LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate,ParameterList
2177,05-12,03:17:24.170,10137,REL,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,3165aaef,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,[]
2178,05-12,03:17:24.173,10137,ACQ,*gms_scheduler*:internal (partial),ed1da152,*gms_scheduler*:internal (partial),[]
2179,05-12,03:17:24.174,10225,REL,SysUI:BroadcastSender,93c4ca52,SysUI:BroadcastSender,[]
2180,05-12,03:17:24.177,10137,REL,NlpWakeLock,03b55498,NlpWakeLock,[]
2181,05-12,03:17:24.186,10137,REL,*gms_scheduler*:internal,42710fe9,*gms_scheduler*:internal,[]
2182,05-12,03:17:24.221,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2183,05-12,03:17:24.221,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2184,05-12,03:17:24.221,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2185,05-12,03:17:24.276,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2186,05-12,03:17:24.276,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2187,05-12,03:17:24.276,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2188,05-12,03:17:24.283,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2189,05-12,03:17:24.283,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2190,05-12,03:17:24.283,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2191,05-12,03:17:24.283,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2192,05-12,03:17:24.284,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2193,05-12,03:17:24.284,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2194,05-12,03:17:24.284,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2195,05-12,03:17:24.289,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2196,05-12,03:17:24.289,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2197,05-12,03:17:24.666,10225,ACQ,SysUI:BroadcastSender (partial),7379b89d,SysUI:BroadcastSender (partial),[]
2198,05-12,03:17:24.666,10225,REL,SysUI:BroadcastSender,93c4ca52,SysUI:BroadcastSender,[]
2199,05-12,03:17:24.853,1000,REL,*vibrator*,8398adf0,*vibrator*,[]
2200,05-12,03:17:25.121,10225,ACQ,SysUI:BroadcastSender (partial),7379b89d,SysUI:BroadcastSender (partial),[]
2201,05-12,03:17:25.123,10225,REL,SysUI:BroadcastSender,93c4ca52,SysUI:BroadcastSender,[]
2202,05-12,03:17:26.363,10137,ACQ,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation (partial),82f4eed5,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation (partial),[]
2203,05-12,03:17:26.383,10137,REL,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,3165aaef,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,[]
